0 0 24;0 0 0
0 0 45;6.319539 15.43637 349.7386
9.788377 -4.072711 80.44856;346.5973 12.7594 347.9055
16.87817 3.576511 111.7571;328.7376 22.46318 342.9423
25.04342 16.55046 131.5056;309.3369 17.19902 349.3419
29.16694 33.56598 144.8274;327.1757 5.044353 356.1536
31.01415 47.11759 165.7544;318.2555 11.67838 334.9869
36.30014 70.42093 191.3281;316.5106 4.287937 359.171
37.92748 91.06754 213.0322;321.9898 21.50248 333.6637
49.19062 115.0838 241.6218;312.5229 39.70299 332.8215
59.98465 133.509 254.6218;326.0995 52.31102 313.2685
85.60059 155.2613 274.4122;313.5573 39.92471 333.7892
101.9634 182.0747 293.9648;324.4294 23.4177 333.3315
111.015 198.3624 314.864;339.7085 32.06495 339.7104
123.4633 207.0324 334.7354;356.6155 32.88211 328.8475
136.4705 208.4492 354.8552;1.911753 40.77522 311.1272
153.4415 207.5818 374.5334;19.18295 31.66113 314.1602
164.3479 200.353 392.2193;39.02298 32.96029 317.0736
174.9148 184.6122 408.5156;31.11005 23.22152 328.04
185.3798 168.595 432.9069;13.54738 21.41526 317.885
199.2234 159.4592 468.204;12.23415 37.33764 308.8721
221.1547 151.6187 496.9537;2.96364 29.98181 324.0796
232.134 150.4812 515.9843;351.7551 38.73102 337.7894
250.0907 154.6399 538.3732;345.4713 40.49885 356.3581
273.98 164.1728 566.345;357.3474 39.99515 340.3203
293.241 165.5612 589.3033;344.4457 55.48839 337.0492
316.2622 173.3376 605.1322;357.1393 45.63974 326.5668
336.2561 174.735 624.6845;340.308 49.22847 336.1144
350.5167 181.4743 636.9816;352.065 42.7333 352.6137
374.7119 186.4441 663.1711;354.0861 25.2842 344.9011
