0 0 22;0 0 0
0 0 46;321.8714 24.05509 15.78135
7.054099 13.58343 61.80286;331.9624 350.4673 353.8772
3.984433 23.4545 80.08233;354.1834 34.73132 356.4122
22.68868 26.79886 107.0632;353.7693 58.59461 309.541
55.77863 31.03163 127.2656;355.3654 19.99023 345.9204
63.6157 32.89004 148.8092;37.29429 35.76109 14.23896
78.9579 12.89504 170.1122;23.22733 50.24978 68.17564
97.3275 2.641147 185.3902;7.127947 71.96295 31.10514
121.8587 -0.5850751 193.3784;353.2318 32.48343 59.10838
136.2581 2.596946 215.9954;324.8346 5.078652 102.5701
139.0081 24.4826 246.9382;344.5631 328.1978 151.6692
128.8486 29.80612 263.3224;6.042003 337.2007 144.0208
116.5173 26.43788 292.6583;27.86455 358.7463 109.944
115.9563 12.88378 318.2898;354.613 27.96642 90.90259
125.294 14.76143 335.8762;31.66059 357.7171 101.2195
124.582 3.738814 353.7367;3.540561 320.4945 111.9217
104.8989 1.824406 377.6095;322.3703 291.3359 112.4013
81.29272 21.3622 386.8302;355.0587 266.7809 152.9458
54.43551 23.68785 385.3197;7.072008 225.002 126.6585
38.29521 20.85616 369.1805;359.5832 265.0901 99.38505
6.413477 21.08895 366.4417;317.0067 241.5242 124.8853
-12.2319 40.86443 356.3283;314.3203 175.062 193.7302
-10.00674 67.33588 330.5735;357.367 204.147 180.6217
-18.1797 68.25466 312.3428;353.5359 191.0507 133.4365
-24.27439 71.85721 281.1358;18.9428 192.6174 90.21191
-31.50571 60.49537 248.8307;351.7174 205.1632 50.87494
-39.92097 63.37648 230.9175;315.653 224.3209 72.88179
-56.40902 86.44353 214.034;296.8381 235.1148 17.90555
-69.74129 118.5658 204.7383;344.932 223.8746 14.14787
