0 0 20;0 0 0
0 0 43;354.4579 343.8792 350.248
-8.290992 2.89733 71.68562;337.7566 345.8094 338.8967
-16.0058 15.76774 102.1952;347.3979 3.177432 327.8286
-14.59938 21.4404 127.5298;336.1012 11.59347 310.6909
-10.37345 30.75821 148.1288;325.9075 24.84934 317.0034
-3.413255 41.96881 163.1581;334.955 42.24597 298.7873
9.377861 50.85874 177.242;333.9921 24.23792 294.9238
22.6602 66.64458 206.7443;340.604 7.156985 291.1051
25.01055 73.2865 225.4622;354.2422 5.213166 276.9904
28.17466 76.79784 260.1416;4.123136 15.52151 290.8928
35.38116 74.85654 286.0896;21.9146 21.8482 299.1369
42.63157 67.01883 304.1728;8.812766 26.07304 314.8536
51.31812 63.95471 321.9254;4.17848 22.29602 333.525
66.07508 61.11303 357.9136;350.7048 25.69759 347.7938
82.33632 67.25085 391.7056;346.0149 27.56283 328.0545
98.05151 75.70927 421.8136;4.85437 33.17519 331.3701
111.6825 73.59368 442.6635;347.023 41.4846 327.0258
127.1745 78.98313 460.1836;333.1421 56.35614 318.2332
142.0284 88.01874 470.0689;349.3306 68.334 317.5873
167.6004 93.20273 480.2276;7.518294 73.2755 310.71
203.6801 88.23071 491.0689;8.5613 76.77763 330.8727
231.5967 83.91355 497.6282;359.2334 65.33839 316.5236
252.497 84.22129 507.2242;11.29858 58.72966 301.3422
273.451 79.32324 519.9496;24.64799 72.66409 312.5953
299.479 66.81197 528.0743;19.83851 58.50845 321.5787
327.5529 54.93401 545.2723;15.85458 45.13475 332.4017
347.3253 47.01131 564.9519;17.83053 41.82618 351.0948
363.8311 39.05004 583.3958;8.266625 32.17631 334.0234
374.898 36.03067 600.9858;20.49664 26.29012 317.7505
